Date,Close,High,Low,Open,Volume
2020-01-02,151.82957458496094,151.93355507544456,149.66490818597188,150.09027767478486,22622100
2020-01-03,149.9390106201172,151.19622386441185,149.4096607117201,149.65544061469248,21116200
2020-01-06,150.32659912109375,150.392775081882,147.94450973571048,148.4833216779959,20813700
2020-01-07,148.95594787597656,150.93156268718585,148.71018237427404,150.60072617609066,21634100
2020-01-08,151.32852172851562,151.99967088764276,149.30564115169364,150.23200324889638,27746500
2020-01-09,153.21910095214844,153.34199090041147,152.21711516271918,152.98278300469048,21385000
2020-01-10,152.51016235351562,154.28727811161113,152.35891539033636,153.9091751273673,20725900
2020-01-13,154.34397888183594,154.3723358820374,152.43452580062083,152.9071617022491,21626500
2020-01-14,153.25692749023438,154.64647824399333,152.8693625755226,154.4479648118691,23477400
2020-01-15,154.24945068359375,154.96786650736908,153.67284871260028,153.72010076525626,21417900
2020-01-16,157.07582092285156,157.141996875451,155.0529397493098,155.35543366341506,23865400
2020-01-17,157.9548797607422,158.3046256141996,156.37626359951238,158.25735915256237,34371700
2020-01-21,157.38775634765625,158.98526801417273,157.32158039758605,157.55789835006,29517200
2020-01-22,156.6315155029297,158.3235598983311,156.6126060305712,158.23847448456866,24138800
2020-01-23,157.595703125,157.6713265938342,156.22506200867213,157.09471026471255,19680800
2020-01-24,156.0076904296875,158.3614229911781,155.4499833902991,158.34251351182573,24918100
2020-01-27,153.398681640625,154.43848622125867,151.4325148850545,152.3305200644923,32078100
2020-01-28,156.4047088623047,156.68827891861844,154.14550939686842,154.81664442841867,24899900
2020-01-29,158.84352111816406,159.51467067156926,156.62214028451808,158.654469578406,34754500
2020-01-30,163.3240203857422,164.52451931588942,161.44292477265313,164.52451931588942,51597500
2020-01-31,160.91360473632812,162.9648426873359,160.29918387299614,162.7852531721158,36142700
2020-02-03,164.8365020751953,164.94993007628167,161.07430990386203,161.10266690413363,30107000
2020-02-04,170.26234436035156,170.75388971293165,166.6608612717509,167.44543856138947,36433300
2020-02-05,170.0543670654297,174.11903811687424,168.64592151325192,173.95834366438353,39186300
2020-02-06,173.58021545410156,173.75981935237053,170.2055891728134,171.0657897257338,27751400
2020-02-07,173.8260498046875,175.47082810975607,172.49321295870286,172.84297337121157,33529100
2020-02-10,178.37278747558594,178.50512495189932,173.22105900121804,173.53300042903595,35844300
2020-02-11,174.34593200683594,180.2633282452073,173.45737421261373,180.21606177076305,53159900
2020-02-12,174.60116577148438,175.6787750789202,171.89768776529226,175.42354764661337,47062900
2020-02-13,173.6558837890625,176.03795827229686,172.86184453761513,173.0603579564026,35295800
2020-02-14,175.20614624023438,175.26286024443658,172.65390066150297,173.22106955093307,23149500
2020-02-18,176.9832305908203,177.42750947945905,175.3479144568941,175.4518949292075,27792200
2020-02-19,177.5140380859375,178.36710062256168,176.74627891035584,178.25336280783833,29997500
2020-02-20,174.80316162109375,177.48558908217993,171.6562951458951,177.20123010558348,36862400
2020-02-21,169.27716064453125,173.93112500826635,168.00704036902022,173.6183316037425,48572600
2020-02-24,161.9787139892578,165.44786191190894,154.7181513655058,159.0214151505909,68311100
2020-02-25,159.30581665039062,165.72277733069018,158.90770527302703,165.11615139518335,68073300
2020-02-26,161.29627990722656,164.2251446871033,159.43849455284118,160.8602752572203,56206100
2020-02-27,149.93150329589844,158.32001499596967,149.74193543338117,154.80348558750697,93174900
2020-02-28,153.5618133544922,155.1731766412521,144.07380051418946,144.4624241051423,97012700
2020-03-02,163.77963256835938,163.9028581761286,153.84612995671205,156.68969102388243,71030800
2020-03-03,155.93141174316406,165.87440256658573,153.79874085302225,164.73698098446346,71677000
2020-03-04,161.65643310546875,161.79860535911507,156.98350737328664,159.7038570188698,49814400
2020-03-05,157.59962463378906,161.95974258543,157.0498678014542,157.39109568141728,47817300
2020-03-06,153.14474487304688,154.60443335618072,147.86519228321035,154.1305064578371,72821100
2020-03-09,142.76573181152344,149.5239338956656,142.17806709572008,143.1259208763582,70419300
2020-03-10,152.5286102294922,152.63287471129829,144.6235141245197,149.91253931749316,65354400
2020-03-11,145.61880493164062,149.47656293341387,143.26811675505746,148.93629371027805,56371600
2020-03-12,131.80853271484375,145.4671079518946,131.35356699021355,137.7231449874347,93226400
2020-03-13,150.547607421875,153.46699860222324,133.39144937999532,139.80842308587606,92727400
2020-03-16,128.35836791992188,141.56197970377613,127.96027103449792,132.6995403320719,87905900
2020-03-17,138.9269256591797,139.8084226699975,127.96025125728583,132.69951982237052,81059800
2020-03-18,133.0786590576172,138.38664577676045,127.97921578102556,130.80381587118453,81593200
2020-03-19,135.26817321777344,142.32019078914172,131.75163052839716,135.3250421111004,85922700
2020-03-20,130.18772888183594,139.4293036921148,128.7754214733434,138.38665869750938,84866200
2020-03-23,128.8891143798828,133.23977291994353,125.6095493819508,129.86540232404437,78975200
2020-03-24,140.60458374023438,141.79888839830377,133.90326706268647,136.2539396766585,82516700
2020-03-25,139.25865173339844,146.28225050950442,136.9079788119045,141.14488563874747,75638200
2020-03-26,147.9694366455078,148.4907590553709,140.63304405067825,140.66147850366175,64568100
2020-03-27,141.89370727539062,146.81307068348792,141.41978038772191,143.8368104074525,57042300
2020-03-30,151.87460327148438,152.22531899610644,142.1875367282903,144.4908288761412,63420300
2020-03-31,149.4860076904297,156.1873255730772,148.3959672991363,151.0878682333424,77927200
2020-04-01,144.17800903320312,149.52390266074318,142.95528427536644,145.02159814322476,57969900
2020-04-02,147.1637725830078,147.372301571524,142.51929484918563,143.9410755182864,49630700
2020-04-03,145.80838012695312,149.17326466352765,144.25390017136908,147.01215873657188,41243300
2020-04-06,156.65174865722656,157.81760438772113,149.362753083422,151.95987682480546,67111700
2020-04-07,154.9645538330078,161.13507411138252,154.74653714284065,160.7464507556182,62769000
2020-04-08,156.51905822753906,157.97874630175247,154.97405234356808,157.03089277059914,48318200
2020-04-09,156.52854919433594,158.64225875732106,154.81293642372253,157.6849317896961,51385100
2020-04-13,156.8792724609375,156.9361558362128,153.83666995479288,155.7797730783277,41905300
2020-04-14,164.6421661376953,164.6895617099437,159.2394035526362,160.1872571452114,52874300
2020-04-15,162.91709899902344,164.5189740701982,160.4147658031758,162.2725509605704,40940800
2020-04-16,167.80799865722656,168.03548873292664,163.88388524576575,165.2108889927018,50479600
2020-04-17,169.28665161132812,170.6136408101682,166.6990009789437,170.13971403013997,52765600
2020-04-20,165.93125915527344,169.42884146949478,165.86491691998498,167.4193963415168,36669600
2020-04-21,159.06878662109375,164.613721103294,157.447950718237,164.4525877384879,56203700
2020-04-22,164.47158813476562,164.926553888929,161.9123858808334,162.45265500207103,34620200
2020-04-23,162.48104858398438,165.93123481658628,161.99764849573384,165.03077686564262,32790800
2020-04-24,165.44786071777344,165.45733404774205,161.8081061021307,163.08769987665707,34277600
2020-04-27,164.9739227294922,167.67529682402676,164.26303252623077,167.3814645207744,33194400
2020-04-28,160.95504760742188,166.50947132086196,160.55695075653242,166.4336412831067,34392700
2020-04-29,168.17767333984375,168.41463676243595,162.9170969287767,164.18721740272696,51286600
2020-04-30,169.86485290527344,170.9927865594313,167.04023871586077,170.61365089823016,53875900
2020-05-01,165.4668731689453,169.3246312753439,164.93606280096057,166.63272949310218,39370500
2020-05-04,169.51414489746094,169.6658049540385,164.73696882006053,165.39099015883954,30372900
2020-05-05,171.3340301513672,174.073326774574,170.5188753882451,171.20133121146824,36839200
2020-05-06,173.0211944580078,174.59463494769062,172.15865865064302,172.58518988955504,32139300
2020-05-07,174.02593994140625,174.92639803706723,173.05912514642642,174.56620901356314,28316000
2020-05-08,175.04959106445312,175.35291115035147,173.79843186786684,175.33395002920838,30877800
2020-05-11,177.0022430419922,177.73208013382308,173.3150919380743,173.5994365384745,30892700
2020-05-12,172.99278259277344,177.28655892042042,172.7937414047397,177.0590832769533,32038200
2020-05-13,170.3766632080078,174.45243606888542,167.33404717026656,173.03065584739994,44711500
2020-05-14,171.1160125732422,171.26767262333027,166.51891673874837,168.28192504750183,41873900
2020-05-15,173.60887145996094,177.30549477035595,167.77008972494357,169.7226658562342,46610400
2020-05-18,175.26759338378906,176.49031802963836,174.36713545537643,176.06378684913727,35264500
2020-05-19,174.05435180664062,176.86947800382345,173.92165288832314,175.3813409898155,26799100
2020-05-20,176.4686279296875,176.6492240164961,174.83377793793983,175.6607026476636,31261300
2020-05-21,174.3489990234375,177.4286028893225,174.21593052633386,176.2214721991391,29119500
2020-05-22,174.42507934570312,175.32805988927586,173.5030993721259,174.1209289284326,20826900
2020-05-26,172.58111572265625,177.26704182371978,172.13438260711965,177.11495937941368,36073600
2020-05-27,172.80921936035156,172.98031573057037,167.85715639177917,171.27892425897863,39517100
2020-05-28,172.4195098876953,175.03336693369795,171.45001698942932,171.792195219223,33810200
2020-05-29,174.17791748046875,175.14742482016004,171.47851967536127,173.68365684604478,42130400
2020-06-01,173.77870178222656,173.94028391212214,172.47653052735325,173.5030505874689,22622400
2020-06-02,175.75576782226562,175.84130876193302,172.37201306609043,175.1284385912765,30794600
2020-06-03,176.18353271484375,176.73482086352638,174.4916548979901,175.67027244035137,27311000
2020-06-04,173.86422729492188,176.63966590430434,173.27492610830765,175.1759126492581,28761800
2020-06-05,177.932373046875,178.43613342107156,172.99930966240385,173.57911125390655,39893600
2020-06-08,179.03494262695312,179.21553869876203,175.3090101306654,176.73475027225717,33211600
2020-06-09,180.40365600585935,181.25909429194024,177.989394570547,178.69276493031884,29783900
2020-06-10,187.0951232910156,188.69195979526327,181.55374485339544,181.66781392729945,43872300
2020-06-11,177.04847717285156,186.0686536953349,176.85838132105945,183.56886496267,52854700
2020-06-12,178.44566345214844,182.2286237022656,176.0123877928457,181.10703377682557,43373600
2020-06-15,179.58619689941406,181.3731288497369,174.9002576371449,175.44204575103572,32770200
2020-06-16,183.98704528808597,185.89753212160971,181.98150329725257,183.3407021258186,42556700
2020-06-17,184.62384033203125,186.60086831332677,184.1010660695818,185.37472372472917,25687800
2020-06-18,186.6008758544922,186.76245799607423,184.39572415045265,184.39572415045265,23061600
2020-06-19,185.48880004882807,189.423842544377,184.7474162817957,188.7584999974735,44441100
2020-06-22,190.64047241210935,190.82105397926185,185.56482652138783,186.09710051660872,32818900
2020-06-23,191.9141540527344,193.85315449194292,191.4579067113132,192.085235928232,30917400
2020-06-24,188.0456695556641,193.18784393784745,186.8290387836324,191.6195351389671,36740600
2020-06-25,190.4218597412109,190.6784970410009,185.79296114833383,188.0076126906128,27803900
2020-06-26,186.61038208007807,189.99413646513128,185.2321694686441,189.8420540312599,54675800
2020-06-29,188.61593627929688,188.7014772152176,183.9680235503295,186.0876200372969,26701600
2020-06-30,193.43492126464844,194.2808598745895,187.95058437366583,188.08365287961007,34310300
2020-07-01,194.56597900390625,196.13430167829475,191.78104054793843,193.0832117505768,32061200
2020-07-02,196.04879760742188,197.72167556493903,194.8511809360564,195.497509599002,29315800
2020-07-06,200.26898193359372,200.6777016892989,197.78819326414936,198.49156369076425,31897600
2020-07-07,197.94027709960935,204.0424438056839,197.6931540036791,200.0313599594094,33600700
2020-07-08,202.2935333251953,202.70223856853212,198.35849081572363,199.6701764866741,33600000
2020-07-09,203.7097625732422,205.6677767540077,201.000850447268,205.6202491809701,33121700
2020-07-10,203.09194946289065,203.481655288408,200.63017471738775,203.04442188603093,26177600
2020-07-13,196.81871032714844,205.1165151249502,196.2769220311056,203.86185665203897,38135600
2020-07-14,198.0353240966797,198.5105708408489,192.0281982887581,195.92522739229784,37591800
2020-07-15,197.7407073974609,200.86783986242773,194.87972651757025,199.185461914782,32179400
2020-07-16,193.8245849609375,195.5164618132625,192.29429022334287,195.2313109329364,29940700
2020-07-17,192.8361358642578,194.88919090755047,191.4198952550157,194.3474171263726,31635300
2020-07-20,201.12445068359372,201.78979330001377,192.959699672657,194.85118714961936,36884800
2020-07-21,198.4155120849609,203.34857552033253,197.7311556255233,203.08243850870448,37990400
2020-07-22,201.2670135498047,201.78978791424657,198.07335457284609,198.8432520443965,49605700
2020-07-23,192.51296997070312,200.47811108769795,192.14227804181616,196.932773972612,67457000
2020-07-24,191.33433532714844,192.81710279590385,187.7319570120304,190.4978964459514,39827000
2020-07-27,193.7581024169922,193.8721569939332,190.91612168004943,191.4959232851321,30160900
2020-07-28,192.0186920166016,194.56600751672173,191.7525550092272,193.5299731306301,23251400
2020-07-29,193.9577178955078,194.51850562770957,192.00920315300613,192.47495022909868,19632600
2020-07-30,193.8056182861328,194.3379068274269,189.6899942060525,191.0491929454852,25079600
2020-07-31,194.86065673828125,194.94621217125052,189.1576960448664,194.2808551543156,51044000
2020-08-03,205.81983947753903,206.86538804440696,200.02183829806603,201.048372935524,78983000
2020-08-04,202.73074340820312,204.1374841693981,199.8982769624529,203.56718229287267,49280100
2020-08-05,202.3980712890625,204.35608541482208,201.095899944012,204.26103027141724,28806400
2020-08-06,205.6392822265625,205.6582816548405,201.07691035504743,201.82779386667733,32656800
2020-08-07,201.9608612060547,205.02145153311608,200.4875933337867,204.21354073459383,27820400
